Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alexandra,2021-01-30 23:35:49,00:03:05,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: The Ashtray (Episode 17),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:03:06,00:03:06,SE (Sweden)
Alexandra,2021-01-30 23:14:31,00:21:17,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: Bad Crazy (Episode 16),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:18,00:21:18,SE (Sweden)
Alexandra,2021-01-30 22:53:09,00:21:21,Autoplayed: user action: None; ,How I Met Your Mother: Season 8: P.S. I Love You (Episode 15),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:21,00:21:21,SE (Sweden)
Alexandra,2021-01-30 22:39:27,00:13:37,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: Ring Up! (Episode 14),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:17,00:21:17,SE (Sweden)
Alexandra,2021-01-30 12:49:12,00:14:54,,Surviving Death: Season 1: Near-Death Experiences (Episode 1),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:14:54,00:14:54,SE (Sweden)
Alexandra,2021-01-30 12:48:27,00:00:23,Autoplayed: user action: None; ,Superstore: Season 1_hook_01_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:23,00:00:23,SE (Sweden)
Alexandra,2021-01-29 13:34:52,00:07:39,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: Ring Up! (Episode 14),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:07:41,Not latest view,SE (Sweden)
Alexandra,2021-01-29 13:14:52,00:19:59,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: Band or DJ? (Episode 13),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:20:04,00:20:04,SE (Sweden)
Alexandra,2021-01-29 12:53:32,00:21:19,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: The Final Page: Part 2 (Episode 12),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:21,00:21:21,SE (Sweden)
Alexandra,2021-01-29 12:40:02,00:12:50,Autoplayed: user action: Unspecified; ,How I Met Your Mother: Season 8: The Final Page: Part 1 (Episode 11),,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:21:20,00:21:20,SE (Sweden)
Alexandra,2021-01-28 20:38:14,01:53:05,,Coming to America,,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,01:52:32,01:52:32,SE (Sweden)
Alexandra,2021-01-28 20:38:02,00:00:11,Autoplayed: user action: None; ,Coming to America_hook_primary_16x9,HOOK,Samsung CE 2020 Nike-L UHD TV (2G) Smart TV,00:00:11,00:00:11,SE (Sweden)
