;id;gender;language;race;company;job_title;country
0;1;Male;Malagasy;Puget Sound Salish;Lazzy;VP Product Management;France
1;2;Female;Pashto;Puerto Rican;Jayo;Automation Specialist I;Indonesia
2;3;Male;Papiamento;Dominican (Dominican Republic);Thoughtblab;Social Worker;Indonesia
3;4;Male;New Zealand Sign Language;Chinese;Mybuzz;Environmental Tech;Philippines
4;5;Female;New Zealand Sign Language;Choctaw;Oyondu;Financial Analyst;Mozambique
5;6;Male;Hindi;Tlingit-Haida;Zoozzy;Environmental Tech;Indonesia
6;7;Male;Italian;Tlingit-Haida;Jayo;Teacher;China
7;8;Female;Marathi;Menominee;Jetwire;Registered Nurse;Brazil
8;9;Male;Quechua;Paraguayan;Mudo;Help Desk Technician;Gambia
9;10;Female;Estonian;Peruvian;Shuffletag;Database Administrator II;Peru
10;11;Male;Latvian;Nicaraguan;Yamia;Computer Systems Analyst IV;Libya
11;12;Female;Dzongkha;Spaniard;Kazio;Engineer I;Indonesia
12;13;Female;Papiamento;Laotian;Devcast;Tax Accountant;Sweden
13;14;Male;Gagauz;Puerto Rican;Voomm;Design Engineer;Russia
14;15;Female;Dzongkha;Chinese;Youopia;Financial Analyst;Chile
15;16;Female;Aymara;Hmong;Yotz;Sales Associate;North Korea
16;17;Male;Kurdish;Taiwanese;Demimbu;Desktop Support Technician;Poland
17;18;Male;Spanish;Samoan;Chatterbridge;Technical Writer;Poland
18;19;Male;Guaraní;Colombian;Babblestorm;Compensation Analyst;China
19;20;Female;Guaraní;Aleut;Plambee;Senior Developer;Sweden
20;21;Male;Chinese;Tlingit-Haida;Kwinu;Technical Writer;Brazil
21;22;Male;Guaraní;Polynesian;Brainsphere;Systems Administrator III;France
22;23;Male;Hebrew;Honduran;Rhyzio;Registered Nurse;China
23;24;Male;Swati;Colombian;Twinder;Quality Control Specialist;France
24;25;Male;Filipino;Laotian;Devpoint;Associate Professor;Indonesia
25;26;Female;Yiddish;Menominee;Ailane;Marketing Assistant;Venezuela
26;27;Female;Guaraní;Taiwanese;Jaxbean;Senior Quality Engineer;Zimbabwe
27;28;Male;Chinese;Cuban;Blogtags;Developer II;Argentina
28;29;Female;Persian;Iroquois;Agimba;Chief Design Engineer;Philippines
29;30;Male;Georgian;American Indian;Skalith;Accounting Assistant II;Palestinian Territory
30;31;Male;Fijian;Ute;Ozu;VP Quality Control;Armenia
31;32;Female;Swahili;Colville;Tagpad;Web Developer I;Russia
32;33;Female;Malagasy;Pima;Brightbean;Senior Editor;Moldova
33;34;Male;Tswana;Fijian;Realcube;Graphic Designer;Indonesia
34;35;Male;Kannada;Houma;Voomm;Biostatistician III;Indonesia
35;36;Male;Afrikaans;Asian Indian;Twinte;Financial Advisor;China
36;37;Male;Afrikaans;Puget Sound Salish;Skinix;Graphic Designer;Iran
37;38;Female;Assamese;Chamorro;Eayo;Analog Circuit Design manager;Portugal
38;39;Female;Tswana;Osage;Skilith;Statistician II;Kazakhstan
39;40;Male;Dari;Shoshone;Babbleblab;Editor;Cuba
40;41;Male;Catalan;Black or African American;Buzzshare;Project Manager;France
41;42;Female;Indonesian;Sioux;Dazzlesphere;Environmental Tech;Indonesia
42;43;Female;Nepali;Alaska Native;Gevee;Quality Engineer;Democratic Republic of the Congo
43;44;Female;Montenegrin;Osage;Dynabox;Editor;Egypt
44;45;Male;French;Chickasaw;Nlounge;Nurse;United States
45;46;Male;Marathi;Native Hawaiian;Bluezoom;VP Product Management;Tanzania
46;47;Female;Sotho;Colville;Twiyo;Environmental Specialist;Kenya
47;48;Male;Italian;Peruvian;Digitube;Programmer III;Greece
48;49;Male;Tetum;Cherokee;Quinu;Director of Sales;Russia
49;50;Female;Mongolian;Alaska Native;Mycat;Recruiter;Poland
50;51;Male;Icelandic;Black or African American;Eazzy;Junior Executive;Myanmar
51;52;Male;Gagauz;Yuman;Oba;Account Coordinator;China
52;53;Male;Malagasy;Black or African American;Twitternation;Data Coordiator;Argentina
53;54;Female;Polish;Chickasaw;Dazzlesphere;Analyst Programmer;Brazil
54;55;Female;Catalan;Colville;Innotype;Community Outreach Specialist;Russia
55;56;Male;Marathi;Polynesian;Browsebug;Sales Associate;Peru
56;57;Female;Norwegian;Cherokee;Trudoo;Professor;Ukraine
57;58;Male;Polish;Cambodian;Dynabox;VP Quality Control;Indonesia
58;59;Female;Dari;Vietnamese;Twiyo;Social Worker;Indonesia
59;60;Male;Tsonga;Nicaraguan;Realcube;Automation Specialist IV;France
60;61;Female;Kannada;Chinese;Thoughtbeat;Senior Sales Associate;Mexico
61;62;Female;Kashmiri;Korean;Dynabox;Community Outreach Specialist;Russia
62;63;Female;Dhivehi;Iroquois;Voonyx;Librarian;Russia
63;64;Female;Finnish;Central American;Geba;Web Developer IV;China
64;65;Female;Armenian;Blackfeet;Zoomcast;Human Resources Assistant IV;United States
65;66;Female;Burmese;Uruguayan;Browseblab;Professor;Thailand
66;67;Male;Kurdish;Latin American Indian;Jaxbean;Software Engineer III;United States
67;68;Male;Northern Sotho;Hmong;Voolith;VP Accounting;Dominican Republic
